date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,et0_fao_evapotranspiration,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll7_mean,precip_roll7_std,precip_roll14_mean,precip_roll14_std,day_of_year,month,week,is_peak_rain,is_wet_season,is_aug_break,is_dry_season,is_onset_month,is_retreat_month,precip_next_day
2024-07-14,27.5,25.6,4.1,17.3,3.12,3.6,12.1,12.4,8.214285714285714,5.580749224321225,12.071428571428571,10.021087655648854,196,7,28,0,1,0,0,0,1,6.2
2024-07-15,27.9,25.0,6.2,21.5,3.11,4.1,4.3,18.8,6.414285714285714,3.0601898478300256,12.235714285714286,9.894878795297414,197,7,29,0,1,0,0,0,1,2.8
2024-07-16,26.6,25.2,2.8,20.8,2.52,6.2,3.6,5.8,5.985714285714287,3.3563018196762275,11.342857142857143,10.157582562622052,198,7,29,0,1,0,0,0,1,0.6
2024-07-17,27.1,25.4,0.6,20.5,2.7,2.8,4.1,8.8,4.814285714285715,3.630164629613276,8.671428571428573,7.050305893137775,199,7,29,0,1,0,0,0,1,1.1
2024-07-18,26.9,25.3,1.1,24.3,3.25,0.6,6.2,12.1,3.242857142857143,1.9363687173479824,7.414285714285714,6.684178465469173,200,7,29,0,1,0,0,0,1,5.0
2024-07-19,26.3,24.9,5.0,22.6,2.86,1.1,2.8,4.3,3.342857142857143,2.0164797237241285,7.692857142857143,6.478896426174674,201,7,29,0,1,0,0,0,1,4.5
2024-07-20,26.7,25.1,4.5,25.7,2.88,5.0,0.6,3.6,3.4714285714285715,2.063746016119154,6.435714285714285,5.009161935564008,202,7,29,0,1,0,0,0,1,2.6
2024-07-21,26.5,25.0,2.6,23.4,3.31,4.5,1.1,4.1,3.257142857142857,2.065475847399465,5.735714285714287,4.7915963524065415,203,7,29,0,1,0,0,0,1,1.0
2024-07-22,27.6,24.5,1.0,19.6,3.43,2.6,5.0,6.2,2.514285714285714,1.7401423039784139,4.464285714285714,3.1328549630936138,204,7,30,0,1,0,0,0,1,1.2
2024-07-23,27.0,24.6,1.2,19.0,3.61,1.0,4.5,2.8,2.2857142857142856,1.8003967816647075,4.135714285714286,3.2219456956836092,205,7,30,0,1,0,0,0,1,1.7
2024-07-24,26.6,24.4,1.7,19.1,3.58,1.2,2.6,0.6,2.442857142857143,1.6721813526620073,3.6285714285714286,2.981075843854574,206,7,30,0,1,0,0,0,1,0.1
2024-07-25,28.2,24.1,0.1,19.204545454545457,3.582173913043478,1.7,1.0,1.1,2.3,1.8402898322456525,2.7714285714285714,1.8796188531101492,207,7,30,0,1,0,0,0,1,0.9
2024-07-26,28.1,24.3,0.9,19.30909090909091,3.584347826086957,0.1,1.2,5.0,1.7142857142857142,1.4484803202305876,2.5285714285714285,1.886563245460104,208,7,30,0,1,0,0,0,1,0.2
2024-07-27,27.7,24.4,0.2,19.413636363636364,3.586521739130435,0.9,1.7,4.5,1.1,0.864098759787755,2.2857142857142856,1.9556061987004663,209,7,30,0,1,0,0,0,1,1.1
2024-07-28,27.6,24.3,1.1,19.51818181818182,3.588695652173913,0.2,0.1,2.6,0.8857142857142856,0.5639993245521739,2.0714285714285716,1.9052270494327428,210,7,30,0,1,0,0,0,1,0.2
2024-07-29,28.2,24.5,0.2,19.622727272727275,3.590869565217391,1.1,0.9,1.0,0.7714285714285714,0.6156684327198284,1.6428571428571428,1.546069102701997,211,7,31,0,1,0,0,0,1,1.6
2024-07-30,28.2,24.1,1.6,19.727272727272727,3.59304347826087,0.2,0.2,1.2,0.8285714285714286,0.6775305299746202,1.5571428571428572,1.5098213270319534,212,7,31,0,1,0,0,0,1,0.8
2024-07-31,27.2,24.2,0.8,19.831818181818186,3.595217391304348,1.6,1.1,1.7,0.7000000000000001,0.5597618541249524,1.5714285714285714,1.5009886851562613,213,7,31,0,1,0,0,0,1,1.0
2024-08-01,27.4,24.1,1.0,19.93636363636364,3.597391304347826,0.8,0.2,0.1,0.8285714285714286,0.4990467102864117,1.5642857142857143,1.5036402714526356,214,8,31,0,0,1,0,0,0,2.8
2024-08-02,28.0,24.0,2.8,20.040909090909093,3.599565217391304,1.0,1.6,0.9,1.1,0.9000000000000385,1.407142857142857,1.2015786319635096,215,8,31,0,0,1,0,0,0,1.2
2024-08-03,27.6,23.3,1.2,20.145454545454545,3.6017391304347828,2.8,0.8,0.2,1.2428571428571427,0.8079957567074296,1.1714285714285713,0.8071112509615163,216,8,31,0,0,1,0,0,0,0.8
2024-08-04,27.6,23.8,0.8,20.25,3.603913043478261,1.2,1.0,1.1,1.2,0.824621125123574,1.042857142857143,0.6980349183621407,217,8,31,0,0,1,0,0,0,0.8
2024-08-05,27.4,23.5,0.8,20.354545454545452,3.606086956521739,0.8,2.8,0.2,1.2857142857142858,0.7289914755527941,1.0285714285714287,0.7010196655077977,218,8,32,0,0,1,0,0,0,0.8
2024-08-06,27.7,24.2,0.8,20.45909090909091,3.608260869565217,0.8,1.2,1.6,1.1714285714285713,0.7341986237032102,1.0,0.70164641544569,219,8,32,0,0,1,0,0,0,0.6
2024-08-07,27.9,24.2,0.6,20.563636363636363,3.610434782608696,0.8,0.8,0.8,1.1428571428571428,0.7546680127869995,0.9214285714285715,0.678435498241962,220,8,32,0,0,1,0,0,0,1.3
2024-08-08,27.3,23.9,1.3,20.668181818181814,3.612608695652174,0.6,0.8,1.0,1.1857142857142857,0.7537209285241502,1.0071428571428571,0.6414698094872509,221,8,32,0,0,1,0,0,0,0.3
2024-08-09,28.6,23.7,0.3,20.772727272727277,3.614782608695652,1.3,0.8,2.8,0.8285714285714285,0.3401680257084084,0.9642857142857143,0.6686463281047805,222,8,32,0,0,1,0,0,0,0.1
2024-08-10,28.7,24.0,0.1,20.877272727272725,3.61695652173913,0.3,0.6,1.2,0.6714285714285715,0.3903600291795047,0.9571428571428572,0.6779088726079142,223,8,32,0,0,1,0,0,0,0.6
2024-08-11,28.5,24.4,0.6,20.98181818181818,3.6191304347826088,0.1,1.3,0.8,0.6428571428571429,0.38668308667936463,0.9214285714285715,0.6829557609601558,224,8,32,0,0,1,0,0,0,1.4
2024-08-12,27.6,24.4,1.4,21.08636363636364,3.621304347826087,0.6,0.3,0.8,0.7285714285714285,0.4820590756131695,1.0071428571428571,0.6603778472200552,225,8,33,0,0,1,0,0,0,0.6
2024-08-13,27.8,24.8,0.6,21.19090909090909,3.623478260869565,1.4,0.1,0.8,0.7,0.48304589153972166,0.9357142857142857,0.6452276197736542,226,8,33,0,0,1,0,0,0,1.8
2024-08-14,28.3,24.3,1.8,21.295454545454543,3.625652173913043,0.6,0.6,0.6,0.8714285714285713,0.6317021600783786,1.0071428571428573,0.683277492581327,227,8,33,0,0,1,0,0,0,1.7217391304347829
2024-08-15,26.7,24.7,1.7217391304347829,21.4,3.6278260869565218,1.8,1.4,1.3,0.9316770186335405,0.6962077233031301,1.058695652173913,0.7094241900315122,228,8,33,0,0,1,0,0,0,1.6434782608695653
2024-08-16,27.3,24.6,1.6434782608695653,25.7,3.63,1.7217391304347829,0.6,0.3,1.1236024844720498,0.6779907356101618,0.976086956521739,0.537584767808489,229,8,33,0,0,1,0,0,0,1.565217391304348
2024-08-17,27.7,24.8,1.565217391304348,24.3,4.15,1.6434782608695653,1.8,0.1,1.332919254658385,0.5161711171678303,1.0021739130434784,0.5577686438959393,230,8,33,0,0,1,0,0,0,1.4869565217391305
2024-08-18,27.3,24.6,1.4869565217391305,16.4,3.85,1.565217391304348,1.7217391304347829,0.6,1.4596273291925466,0.4026512191970722,1.0512422360248448,0.5687238253365897,231,8,33,0,0,1,0,0,0,1.4086956521739131
2024-08-19,26.4,24.8,1.4086956521739131,18.6,1.81,1.4869565217391305,1.6434782608695653,1.4,1.4608695652173913,0.4024499640142105,1.09472049689441,0.5713003735588172,232,8,34,0,0,1,0,0,0,1.3304347826086955
2024-08-20,27.2,24.6,1.3304347826086955,20.5,2.12,1.4086956521739131,1.565217391304348,0.6,1.565217391304348,0.16906280082822983,1.132608695652174,0.5678296977560443,233,8,34,0,0,1,0,0,0,1.2521739130434784
2024-08-21,26.9,24.6,1.2521739130434784,20.1,3.52,1.3304347826086955,1.4869565217391305,1.8,1.4869565217391307,0.16906280082823094,1.1791925465838509,0.5471492835019551,234,8,34,0,0,1,0,0,0,1.173913043478261
