date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,et0_fao_evapotranspiration
2024-06-01,30.5,25.5,1.6,14.2,4.24
2024-06-02,27.6,25.0,12.5,14.1,1.57
2024-06-03,29.5,24.6,0.4,15.9,3.18
2024-06-04,29.3,26.1,3.3,19.1,3.71
2024-06-05,30.0,25.0,1.6,14.8,4.31
2024-06-06,29.2,25.0,17.7,19.2,3.26
2024-06-07,29.0,25.0,6.5,10.2,2.49
2024-06-08,29.5,25.0,16.0,14.1,2.93
2024-06-09,29.1,26.0,14.6,18.2,2.73
2024-06-10,29.9,25.6,3.2,16.3,4.11
2024-06-11,28.2,25.1,9.5,14.1,2.43
2024-06-12,29.4,23.3,2.8,14.7,4.1
2024-06-13,30.1,25.5,0.5,17.1,4.33
2024-06-14,27.5,25.2,8.6,14.7,2.36
2024-06-15,28.0,24.4,19.8,17.1,2.7
2024-06-16,27.2,24.8,3.3,7.8,1.65
2024-06-17,28.8,24.5,1.7,14.8,3.51
2024-06-18,29.4,24.5,1.4,9.8,2.99
2024-06-19,30.2,25.4,1.6,18.7,4.42
2024-06-20,28.2,25.2,5.2,14.7,3.52
2024-06-21,29.2,24.5,17.4,14.2,2.43
2024-06-22,29.2,23.6,1.1,16.3,4.1
2024-06-23,29.2,25.1,1.2,15.3,3.72
2024-06-24,29.6,25.7,10.7,12.5,3.29
2024-06-25,27.3,23.7,31.3,15.0,2.05
2024-06-26,29.2,24.0,6.2,15.3,3.46
2024-06-27,29.4,24.3,2.0,13.0,3.95
2024-06-28,29.0,25.5,9.6,17.6,3.64
2024-06-29,27.5,25.1,8.1,14.6,2.24
2024-06-30,29.0,24.4,2.3,16.9,3.74
2024-07-01,29.6,24.4,5.0,14.8,3.89
2024-07-02,28.1,24.4,14.5,19.4,2.87
2024-07-03,26.0,24.4,37.5,16.8,1.2
2024-07-04,27.2,23.9,21.9,14.0,1.79
2024-07-05,30.0,23.9,5.5,12.5,3.11
2024-07-06,27.6,24.2,22.3,12.6,2.12
2024-07-07,28.8,24.0,6.2,19.9,3.64
2024-07-08,27.9,23.9,14.0,14.1,2.25
2024-07-09,27.7,23.9,1.4,18.2,2.86
2024-07-10,28.1,24.4,9.9,17.8,3.23
2024-07-11,27.4,24.5,4.8,20.0,2.39
2024-07-12,27.5,24.1,5.7,18.9,2.5
2024-07-13,28.4,24.8,2.7,20.6,3.7
2024-07-14,28.1,24.8,5.5,17.3,3.74
2024-07-15,28.5,24.5,0.4,21.5,3.42
2024-07-16,27.6,24.7,0.9,20.8,2.42
2024-07-17,28.0,24.9,0.5,20.5,3.47
2024-07-18,28.2,24.5,0.8,24.3,4.23
2024-07-19,27.8,24.2,1.8,22.6,3.28
2024-07-20,27.7,24.5,2.6,25.7,3.41
2024-07-21,27.6,24.3,1.2,23.4,3.96
2024-07-22,28.0,23.7,0.7,19.6,3.58
2024-07-23,27.8,24.1,0.3,19.0,3.83
2024-07-24,27.6,24.4,0.2,19.1,3.95
2024-07-25,28.2,24.0,0.1,21.4,4.07
2024-07-26,28.1,24.3,0.9,22.9,3.96
2024-07-27,27.7,24.4,0.2,20.6,3.72
2024-07-28,27.6,24.2,1.1,26.4,3.78
2024-07-29,28.2,24.5,0.2,21.9,3.67
2024-07-30,28.2,24.0,1.6,24.4,3.81
2024-07-31,27.2,24.2,0.8,23.0,3.29
2024-08-01,27.4,24.1,1.0,22.2,3.49
2024-08-02,28.0,24.0,2.8,20.7,3.87
2024-08-03,27.6,23.3,1.2,20.4,4.13
2024-08-04,27.5,23.8,0.8,20.4,3.85
2024-08-05,27.4,23.5,0.8,19.2,3.71
2024-08-06,27.6,24.1,0.8,23.2,4.06
2024-08-07,27.9,24.1,0.6,25.2,3.61
2024-08-08,27.3,23.9,1.3,20.9,3.1
2024-08-09,28.5,23.6,0.3,18.2,4.02
2024-08-10,28.7,24.0,0.1,22.2,4.25
2024-08-11,28.5,24.4,0.6,20.7,4.25
2024-08-12,27.5,24.4,1.4,21.6,3.41
2024-08-13,27.8,24.8,0.6,23.0,3.46
2024-08-14,28.2,24.3,1.8,21.2,4.12
2024-08-15,28.1,24.2,0.3,21.4,3.51
2024-08-16,27.5,24.4,1.1,25.7,3.25
2024-08-17,28.2,24.4,0.8,24.3,4.49
2024-08-18,28.9,24.1,0.4,16.4,4.11
2024-08-19,27.5,24.1,6.5,18.6,2.02
2024-08-20,26.4,23.4,13.6,20.5,1.87
2024-08-21,28.1,24.0,1.3,20.1,4.05
2024-08-22,28.8,24.0,0.5,20.5,3.84
2024-08-23,26.6,24.2,20.1,28.4,2.22
2024-08-24,26.5,23.5,11.3,16.2,2.23
2024-08-25,28.3,23.6,5.3,19.1,2.94
2024-08-26,27.3,24.0,10.8,23.0,2.67
2024-08-27,28.1,24.7,0.7,27.6,3.96
2024-08-28,28.1,24.0,1.5,18.2,3.78
2024-08-29,27.6,23.7,1.9,17.4,2.99
2024-08-30,27.6,24.4,3.6,25.2,3.34
2024-08-31,27.8,24.4,0.6,23.3,4.04
2024-09-01,28.0,24.1,1.0,20.1,4.28
2024-09-02,28.4,23.7,0.1,19.4,4.42
2024-09-03,28.0,24.0,0.0,20.9,4.1
2024-09-04,28.8,23.8,0.0,17.6,4.42
2024-09-05,29.1,24.0,0.1,20.9,4.53
2024-09-06,29.0,24.0,0.0,21.5,4.02
2024-09-07,27.5,24.4,8.6,18.8,2.83
2024-09-08,28.5,23.5,0.4,17.4,4.43
2024-09-09,29.1,23.9,0.6,19.9,4.35
2024-09-10,29.3,24.7,10.8,19.6,3.38
2024-09-11,28.4,24.6,7.4,19.9,3.78
2024-09-12,27.7,24.6,12.3,17.1,3.36
2024-09-13,28.8,23.9,13.5,17.9,3.14
2024-09-14,27.5,23.8,12.2,18.2,3.33
